schema_version,mode,held_out_domain,config,seed,status,task_scope,best_epoch,selection_metric,best_dev_micro_f1,dev_loss,dev_micro_precision,dev_micro_recall,dev_micro_f1,dev_macro_f1,dev_rare_category_recall,test_loss,test_micro_precision,test_micro_recall,test_micro_f1,test_macro_f1,test_rare_category_recall,train_size,dev_size,test_size,trainable_params,training_time_sec,device,artifact_dir,completed_at
3,crossdomain,coursera,weighted,777,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.2307135620205529,3.2752209728579533,0.15901835594573024,0.4201370585134423,0.2307135620205529,0.10210639999572187,0.038461538461538464,7.6489257945461455,0.0,0.0,0.0,0.0,0.0,7518,1850,566,109663724,1044.4888744354248,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\coursera\weighted\seed_777,2026-09-18T12:40:47.544164+00:00
3,crossdomain,hotel,standard,13,complete,single-pair-aligned-explicit-aspect,4,dev_complete_triplet_micro_f1,0.3063174114021571,2.0687324440988304,0.3619810633648944,0.265491452991453,0.3063174114021571,0.07428484429963518,0.0,2.239210350285916,0.1648148148148148,0.16390423572744015,0.16435826408125578,0.014026792750197005,0.0,7541,1878,584,109662186,1066.117615699768,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\standard\seed_13,2026-09-18T03:27:58.399930+00:00
3,crossdomain,hotel,standard,42,complete,single-pair-aligned-explicit-aspect,4,dev_complete_triplet_micro_f1,0.2833283626603042,2.0798088063039852,0.32072923700202566,0.2537393162393162,0.2833283626603042,0.06752033142392343,0.0,2.1728601067958846,0.1760154738878143,0.16758747697974216,0.1716981132075472,0.014232092586800124,0.0,7541,1878,584,109662186,1047.2054216861725,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\standard\seed_42,2026-09-18T12:58:42.076195+00:00
3,crossdomain,hotel,standard,123,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.31882386855001443,2.019495661337997,0.34627426424546026,0.2954059829059829,0.31882386855001443,0.08585477324574858,0.0,2.3128282785434564,0.14835164835164835,0.14917127071823205,0.1487603305785124,0.014891074547292951,0.0,7541,1878,584,109662186,1047.519671201706,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\standard\seed_123,2026-09-18T13:16:34.315326+00:00
3,crossdomain,hotel,standard,2024,complete,single-pair-aligned-explicit-aspect,4,dev_complete_triplet_micro_f1,0.3125,2.058861076631891,0.3528225806451613,0.28044871794871795,0.3125,0.0854054666468688,0.0,2.1528816450711434,0.14864864864864866,0.16206261510128914,0.15506607929515417,0.013580246913580245,0.0,7541,1878,584,109662186,1047.1923944950104,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\standard\seed_2024,2026-09-18T13:34:26.327091+00:00
3,crossdomain,hotel,standard,777,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.3159722222222222,1.9939478995582383,0.3446969696969697,0.2916666666666667,0.3159722222222222,0.08293325793172168,0.0,1.9177951837189073,0.14890016920473773,0.16206261510128914,0.15520282186948853,0.013373860182370821,0.0,7541,1878,584,109662186,1046.470243215561,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\standard\seed_777,2026-09-18T13:52:22.501916+00:00
3,crossdomain,hotel,weighted,13,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.23610097767401136,3.3702343997756867,0.1624171853041558,0.4321581196581197,0.23610097767401136,0.09742723697428332,0.025974025974025976,2.699394156836495,0.10380881254667662,0.2559852670349908,0.14771519659936239,0.011150325903925139,0.0,7541,1878,584,109662186,1051.7321627140045,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\weighted\seed_13,2026-09-18T03:45:54.982449+00:00
3,crossdomain,hotel,weighted,42,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.2445700684320143,3.286885287069238,0.1694845360824742,0.4391025641025641,0.2445700684320143,0.11407788558198009,0.05194805194805195,2.5085771391972433,0.0895638629283489,0.21178637200736647,0.12588943623426382,0.010684627051703683,0.0,7541,1878,584,109662186,1048.3023254871368,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\weighted\seed_42,2026-09-18T14:10:15.809750+00:00
3,crossdomain,hotel,weighted,123,complete,single-pair-aligned-explicit-aspect,4,dev_complete_triplet_micro_f1,0.24041759880686056,3.4103148394890925,0.16677012207738465,0.4305555555555556,0.24041759880686056,0.11698884570971539,0.06493506493506493,3.1561597928160987,0.06814580031695722,0.15837937384898712,0.09529085872576179,0.009238680586995195,0.0,7541,1878,584,109662186,1048.9767684936523,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\weighted\seed_123,2026-09-18T14:28:12.465445+00:00
3,crossdomain,hotel,weighted,2024,complete,single-pair-aligned-explicit-aspect,5,dev_complete_triplet_micro_f1,0.24241522903033905,3.313300329485462,0.1679719703215169,0.43536324786324787,0.24241522903033905,0.11267651753585164,0.06493506493506493,2.624381452111387,0.10014204545454546,0.2596685082872928,0.14454126089185032,0.010633635869249574,0.0,7541,1878,584,109662186,1050.469067811966,cuda,D:\UoA\bertfinetune\artifacts\lodo_runs\hotel\weighted\seed_2024,2026-09-18T14:46:07.843143+00:00
